site_code,avg_gwe_first,avg_gwe_second,percent_change_gwe
325536N1170608W001,28.89,32.08,11.0
325910N1170835W006,9.530000000000001,10.98,15.0
326821N1171124W006,2.085,3.2350000000000003,55.0
327781N1171209W006,40.06,42.2,5.0
327893N1169478W001,443.46033333333327,453.875,2.0
328442N1169971W001,,296.17,
328556N1169394W001,356.645,358.44,1.0
328662N1169215W001,366.0,370.5,1.0
329054N1169302W001,,430.58000000000004,
329593N1169256W001,368.16999999999996,375.995,2.0
330494N1170425W001,316.51466666666664,318.31,1.0
330557N1170464W001,309.625,316.09000000000003,2.0
330848N1170146W001,384.505,346.275,-10.0
330874N1169748W001,365.39,340.935,-7.0
330924N1169465W001,384.8,376.665,-2.0
330979N1170172W001,352.295,354.745,1.0
331109N1161314W001,,1.2266666666666668,
331560N1161680W001,124.5,150.5,21.0
331610N1162372W001,485.495,485.55,0.0
332032N1163143W001,472.28499999999997,445.315,-6.0
332116N1163340W001,455.43,450.2,-1.0
332266N1162794W001,412.55,406.755,-1.0
332316N1163887W001,398.61,398.105,0.0
332367N1167165W001,2702.8700000000003,2704.424166666667,0.0
332391N1173818W001,10.350000000000001,10.856,5.0
332486N1166558W001,2979.7499999999995,2978.375,0.0
332509N1172990W001,,64.545,
332574N1163559W001,392.65999999999997,386.075,-2.0
332575N1163710W001,398.46,389.505,-2.0
332576N1163131W001,419.605,405.87,-3.0
332742N1166846W001,2798.2216666666664,2797.4975,0.0
332839N1167395W001,2682.8658333333333,2698.1175000000003,1.0
332862N1169589W001,750.1316666666667,798.29,6.0
332867N1167043W001,2697.7500000000005,2706.4049999999997,0.0
332910N1169506W001,918.7016666666665,998.11,9.0
332930N1169479W001,972.5833333333334,1019.4,5.0
332931N1169754W001,680.485,743.16,9.0
332992N1169389W001,1315.4683333333332,1463.01,11.0
332993N1169389W001,,743.0,
333006N1163495W001,387.855,375.615,-3.0
333013N1169446W001,1223.3166666666666,1277.3000000000002,4.0
333103N1166879W001,2892.1841666666674,2892.2949999999996,0.0
333197N1169970W001,586.47,597.12,2.0
333265N1169860W001,760.0,600.96,-21.0
333384N1171370W001,,275.3566666666666,
333395N1170148W001,,573.5450000000001,
333396N1170143W001,552.0466666666665,573.4300000000001,4.0
333409N1170162W001,635.1836363636362,640.87,1.0
333472N1170272W001,,560.2066666666666,
334268N1160610W001,-242.4213333333333,-207.65,-14.0
